episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
171,1339,0.46,0,3,6,4,1
172,1342,-0.03,0,2,5,3,1
173,1343,-1.01,0,0,3,1,1
174,1360,4.08,0,11,14,17,1
175,1371,2.24,0,7,10,11,1
176,1388,4.63,0,12,15,17,1
177,1400,3.83,0,10,13,12,1
178,1403,-0.03,0,2,5,3,1
179,1404,-1.01,0,0,3,1,1
180,1414,2.85,0,8,11,10,1
181,1425,2.24,0,7,10,11,1
182,1432,1.93,0,6,9,7,1
183,1433,-1.01,0,0,3,1,1
184,1434,-1.01,0,0,3,1,1
185,1437,-0.03,0,2,5,3,1
186,1440,-0.03,0,2,5,3,1
187,1443,-0.03,0,2,5,3,1
188,1450,1.38,0,5,8,7,1
189,1453,-0.03,0,2,5,3,1
190,1472,4.51,0,12,15,19,1
191,1479,1.93,0,6,9,7,1
192,1491,3.28,0,9,12,12,1
193,1492,-1.01,0,0,3,1,1
194,1493,-1.01,0,0,3,1,1
195,1494,-1.01,0,0,3,1,1
196,1496,-0.52,0,1,4,2,1
197,1509,2.67,0,8,11,13,1
198,1510,-1.01,0,0,3,1,1
199,1519,1.81,0,6,9,9,1
200,1521,-0.52,0,1,4,2,1
201,1524,-0.03,0,2,5,3,1
202,1527,-0.03,0,2,5,3,1
203,1559,5.38,0,15,18,32,1
204,1561,-0.52,0,1,4,2,1
205,1563,-0.52,0,1,4,2,1
206,1571,1.87,0,6,9,8,1
207,1592,3.29,0,10,13,21,1
208,1593,-1.01,0,0,3,1,1
209,1604,3.34,0,9,12,11,1
210,1607,-0.03,0,2,5,3,1
211,1609,-0.52,0,1,4,2,1
212,1620,1.69,0,6,9,11,1
213,1622,-0.52,0,1,4,2,1
214,1626,-0.09,0,2,5,4,1
215,1627,-1.01,0,0,3,1,1
216,1628,-1.01,0,0,3,1,1
217,1649,4.39,0,12,15,21,1
218,1652,-0.03,0,2,5,3,1
219,1654,-0.52,0,1,4,2,1
220,1662,1.87,0,6,9,8,1
221,1665,-0.03,0,2,5,3,1
222,1671,1.44,0,5,8,6,1
223,1678,1.93,0,6,9,7,1
224,1680,-0.52,0,1,4,2,1
225,1685,0.4,0,3,6,5,1
226,1688,-0.03,0,2,5,3,1
227,1691,-0.03,0,2,5,3,1
228,1698,1.93,0,6,9,7,1
229,1703,0.95,0,4,7,5,1
230,1727,4.76,0,13,16,24,1
231,1743,3.59,0,10,13,16,1
232,1746,-0.03,0,2,5,3,1
233,1769,4.82,0,13,16,23,1
234,1782,3.77,0,10,13,13,1
235,1795,2.12,0,7,10,13,1
236,1801,1.44,0,5,8,6,1
237,1803,-0.52,0,1,4,2,1
238,1838,6.3,0,17,20,35,1
239,1849,2.79,0,8,11,11,1
240,1852,-0.03,0,2,5,3,1
241,1857,-0.15,0,2,5,5,1
242,1868,2.24,0,7,10,11,1
243,1872,0.46,0,3,6,4,1
244,1875,-0.03,0,2,5,3,1
245,1878,-0.03,0,2,5,3,1
246,1885,1.38,0,5,8,7,1
247,1890,0.95,0,4,7,5,1
248,1892,-0.52,0,1,4,2,1
249,1904,3.28,0,9,12,12,1
250,1909,0.95,0,4,7,5,1
251,1914,0.95,0,4,7,5,1
252,1920,1.44,0,5,8,6,1
253,1928,1.32,0,5,8,8,1
254,1932,0.46,0,3,6,4,1
255,1938,0.89,0,4,7,6,1
256,1957,4.51,0,12,15,19,1
257,1975,4.02,0,11,14,18,1
258,1983,1.32,0,5,8,8,1
259,1984,-1.01,0,0,3,1,1
260,1990,1.44,0,5,8,6,1
261,2010,3.9,0,11,14,20,1
262,2016,1.44,0,5,8,6,1
263,2017,-1.01,0,0,3,1,1
264,2020,-0.03,0,2,5,3,1
265,2022,-0.52,0,1,4,2,1
266,2037,3.1,0,9,12,15,1
267,2068,5.99,0,16,19,31,1
268,2073,0.4,0,3,6,5,1
269,2084,3.34,0,9,12,11,1
270,2088,0.46,0,3,6,4,1
271,2095,1.38,0,5,8,7,1
272,2111,4.69,0,12,15,16,1
273,2115,0.46,0,3,6,4,1
274,2117,-0.52,0,1,4,2,1
275,2138,4.94,0,13,16,21,1
276,2140,-0.52,0,1,4,2,1
277,2142,-0.52,0,1,4,2,1
278,2165,5.37,0,14,17,23,1
279,2170,0.95,0,4,7,5,1
280,2182,3.28,0,9,12,12,1
281,2189,1.93,0,6,9,7,1
282,2197,1.32,0,5,8,8,1
283,2203,1.44,0,5,8,6,1
284,2211,1.87,0,6,9,8,1
285,2215,0.46,0,3,6,4,1
286,2221,1.44,0,5,8,6,1
287,2232,3.34,0,9,12,11,1
288,2257,5.25,0,14,17,25,1
289,2259,-0.52,0,1,4,2,1
290,2298,7.16,0,19,22,39,1
291,2304,1.44,0,5,8,6,1
292,2308,0.46,0,3,6,4,1
293,2312,0.46,0,3,6,4,1
294,2324,2.18,0,7,10,12,1
295,2327,-0.03,0,2,5,3,1
296,2330,-0.58,0,1,4,3,1
297,2339,1.81,0,6,9,9,1
298,2342,-0.03,0,2,5,3,1
299,2361,3.96,0,11,14,19,1
300,2362,-1.01,0,0,3,1,1
301,2368,1.44,0,5,8,6,1
302,2404,6.79,0,18,21,36,1
303,2405,-1.01,0,0,3,1,1
304,2406,-1.01,0,0,3,1,1
305,2408,-0.52,0,1,4,2,1
306,2422,4.81,0,12,15,14,1
307,2426,0.46,0,3,6,4,1
308,2432,1.44,0,5,8,6,1
309,2436,0.46,0,3,6,4,1
310,2443,0.83,0,4,7,7,1
311,2445,-0.52,0,1,4,2,1
312,2447,-0.52,0,1,4,2,1
313,2454,1.93,0,6,9,7,1
314,2464,2.85,0,8,11,10,1
315,2470,1.44,0,5,8,6,1
316,2472,-0.52,0,1,4,2,1
317,2473,-1.01,0,0,3,1,1
318,2477,0.46,0,3,6,4,1
319,2484,1.93,0,6,9,7,1
320,2487,-0.03,0,2,5,3,1
321,2494,1.93,0,6,9,7,1
322,2510,5.24,0,13,16,16,1
323,2521,3.34,0,9,12,11,1
324,2523,-0.52,0,1,4,2,1
325,2524,-1.01,0,0,3,1,1
326,2530,1.44,0,5,8,6,1
327,2534,0.46,0,3,6,4,1
328,2537,-0.03,0,2,5,3,1
329,2543,1.44,0,5,8,6,1
330,2549,1.44,0,5,8,6,1
331,2559,1.75,0,6,9,10,1
332,2561,-0.52,0,1,4,2,1
333,2577,3.59,0,10,13,16,1
334,2587,2.3,0,7,10,10,1
335,2598,2.79,0,8,11,11,1
336,2612,3.71,0,10,13,14,1
337,2617,0.95,0,4,7,5,1
338,2618,-1.01,0,0,3,1,1
339,2619,-1.01,0,0,3,1,1
340,2623,-0.09,0,2,5,4,1
341,2626,-0.03,0,2,5,3,1
342,2653,5.13,0,14,17,27,1
343,2661,2.42,0,7,10,8,1
344,2673,2.18,0,7,10,12,1
345,2677,0.46,0,3,6,4,1
346,2682,0.4,0,3,6,5,1
347,2686,0.46,0,3,6,4,1
348,2695,2.36,0,7,10,9,1
349,2697,-0.52,0,1,4,2,1
350,2698,-1.01,0,0,3,1,1
351,2699,-1.01,0,0,3,1,1
352,2702,-0.03,0,2,5,3,1
353,2703,-1.01,0,0,3,1,1
354,2707,0.46,0,3,6,4,1
355,2711,0.46,0,3,6,4,1
356,2716,0.95,0,4,7,5,1
357,2744,6.72,0,17,20,28,1
358,2772,5.62,0,15,18,28,1
359,2775,-0.58,0,1,4,3,1
360,2794,5.61,0,14,17,19,1
361,2795,-1.01,0,0,3,1,1
362,2840,4.6,0,15,18,45,1
363,2841,-1.01,0,0,3,1,1
364,2845,0.46,0,3,6,4,1
365,2855,3.4,0,9,12,10,1
366,2877,5.98,0,15,18,22,1
367,2882,0.95,0,4,7,5,1
368,2895,3.22,0,9,12,13,1
369,2920,6.35,0,16,19,25,1
370,2925,0.95,0,4,7,5,1
371,2931,0.89,0,4,7,6,1
372,2933,-0.52,0,1,4,2,1
373,2938,0.95,0,4,7,5,1
374,2959,5.49,0,14,17,21,1
375,2965,0.89,0,4,7,6,1
376,2982,4.63,0,12,15,17,1
377,2992,2.3,0,7,10,10,1
378,3005,2.12,0,7,10,13,1
379,3013,2.42,0,7,10,8,1
380,3014,-1.01,0,0,3,1,1
381,3021,0.83,0,4,7,7,1
382,3034,4.32,0,11,14,13,1
383,3052,4.57,0,12,15,18,1
384,3064,3.28,0,9,12,12,1
385,3107,6.92,0,19,22,43,1
386,3112,0.95,0,4,7,5,1
387,3166,7.36,0,21,24,54,1
388,3174,1.87,0,6,9,8,1
389,3176,-0.52,0,1,4,2,1
390,3185,2.36,0,7,10,9,1
391,3189,0.46,0,3,6,4,1
392,3205,4.69,0,12,15,16,1
393,3213,2.42,0,7,10,8,1
394,3242,5.56,0,15,18,29,1
395,3243,-1.01,0,0,3,1,1
396,3277,6.91,0,18,21,34,1
397,3285,1.32,0,5,8,8,1
398,3288,-0.03,0,2,5,3,1
399,3308,4.45,0,12,15,20,1
400,3310,-0.52,0,1,4,2,1
401,3319,1.81,0,6,9,9,1
402,3322,-0.03,0,2,5,3,1
403,3334,3.28,0,9,12,12,1
404,3348,4.26,0,11,14,14,1
405,3363,3.65,0,10,13,15,1
406,3365,-0.52,0,1,4,2,1
407,3378,3.77,0,10,13,13,1
408,3389,2.79,0,8,11,11,1
409,3415,4.09,0,12,15,26,1
410,3426,3.34,0,9,12,11,1
411,3444,4.02,0,11,14,18,1
412,3453,0.71,0,4,7,9,1
413,3457,0.46,0,3,6,4,1
414,3461,0.46,0,3,6,4,1
415,3465,-0.09,0,2,5,4,1
416,3466,-1.01,0,0,3,1,1
417,3469,-0.03,0,2,5,3,1
418,3470,-1.01,0,0,3,1,1
419,3471,-1.01,0,0,3,1,1
420,3480,1.26,0,5,8,9,1
421,3493,2.67,0,8,11,13,1
422,3497,-0.09,0,2,5,4,1
423,3506,2.36,0,7,10,9,1
424,3529,4.27,0,12,15,23,1
425,3538,2.36,0,7,10,9,1
426,3551,4.32,0,11,14,13,1
427,3552,-1.01,0,0,3,1,1
428,3573,6.04,0,15,18,21,1
429,3574,-1.01,0,0,3,1,1
430,3579,0.95,0,4,7,5,1
431,3583,0.46,0,3,6,4,1
432,3584,-1.01,0,0,3,1,1
433,3595,2.79,0,8,11,11,1
434,3603,1.87,0,6,9,8,1
435,3629,6.29,0,16,19,26,1
436,3631,-0.52,0,1,4,2,1
437,3638,1.38,0,5,8,7,1
438,3644,1.44,0,5,8,6,1
439,3657,2.67,0,8,11,13,1
440,3660,-0.03,0,2,5,3,1
441,3672,2.73,0,8,11,12,1
442,3673,-1.01,0,0,3,1,1
443,3674,-1.01,0,0,3,1,1
444,3675,-1.01,0,0,3,1,1
445,3677,-0.52,0,1,4,2,1
446,3689,3.28,0,9,12,12,1
447,3695,0.34,0,3,6,6,1
448,3699,0.46,0,3,6,4,1
449,3703,-0.09,0,2,5,4,1
450,3722,4.51,0,12,15,19,1
451,3731,2.91,0,8,11,9,1
452,3737,1.44,0,5,8,6,1
453,3754,3.53,0,10,13,17,1
454,3764,2.85,0,8,11,10,1
455,3767,-0.03,0,2,5,3,1
456,3779,2.73,0,8,11,12,1
457,3783,0.46,0,3,6,4,1
458,3796,3.22,0,9,12,13,1
459,3800,0.46,0,3,6,4,1
460,3802,-0.52,0,1,4,2,1
461,3810,1.87,0,6,9,8,1
462,3828,4.57,0,12,15,18,1
463,3841,3.22,0,9,12,13,1
464,3845,0.46,0,3,6,4,1
465,3849,0.46,0,3,6,4,1
466,3856,0.83,0,4,7,7,1
467,3871,3.65,0,10,13,15,1
468,3874,-0.03,0,2,5,3,1
469,3878,0.46,0,3,6,4,1
470,3880,-0.52,0,1,4,2,1
471,3898,4.02,0,11,14,18,1
472,3902,0.46,0,3,6,4,1
473,3944,6.43,0,18,21,42,1
474,3946,-0.52,0,1,4,2,1
475,3964,4.57,0,12,15,18,1
476,3981,4.08,0,11,14,17,1
477,3983,-0.52,0,1,4,2,1
478,3997,4.26,0,11,14,14,1
479,4001,0.46,0,3,6,4,1
480,4009,2.42,0,7,10,8,1
481,4013,-0.09,0,2,5,4,1
482,4018,0.95,0,4,7,5,1
483,4030,2.18,0,7,10,12,1
484,4044,2.06,0,7,10,14,1
485,4047,-0.03,0,2,5,3,1
486,4050,-0.03,0,2,5,3,1
487,4056,1.44,0,5,8,6,1
488,4088,5.93,0,16,19,32,1
489,4090,-0.52,0,1,4,2,1
490,4112,5.43,0,14,17,22,1
491,4118,1.44,0,5,8,6,1
492,4126,1.87,0,6,9,8,1
493,4135,0.71,0,4,7,9,1
494,4141,1.44,0,5,8,6,1
495,4153,2.73,0,8,11,12,1
496,4166,2.67,0,8,11,13,1
497,4167,-1.01,0,0,3,1,1
498,4173,0.89,0,4,7,6,1
499,4204,7.64,0,19,22,31,1
500,4209,0.95,0,4,7,5,1
501,4212,-0.03,0,2,5,3,1
502,4213,-1.01,0,0,3,1,1
503,4214,-1.01,0,0,3,1,1
504,4220,0.34,0,3,6,6,1
505,4226,1.44,0,5,8,6,1
506,4235,1.81,0,6,9,9,1
507,4238,-0.03,0,2,5,3,1
508,4244,0.89,0,4,7,6,1
509,4247,-0.03,0,2,5,3,1
510,4262,3.1,0,9,12,15,1
511,4267,0.95,0,4,7,5,1
512,4273,0.89,0,4,7,6,1
513,4298,4.7,0,13,16,25,1
514,4300,-0.52,0,1,4,2,1
515,4303,-0.03,0,2,5,3,1
516,4314,2.24,0,7,10,11,1
517,4326,2.73,0,8,11,12,1
518,4336,2.85,0,8,11,10,1
519,4343,1.38,0,5,8,7,1
520,4345,-0.52,0,1,4,2,1
521,4356,3.34,0,9,12,11,1
522,4359,-0.03,0,2,5,3,1
523,4362,-0.03,0,2,5,3,1
524,4367,0.95,0,4,7,5,1
525,4370,-0.03,0,2,5,3,1
526,4377,1.38,0,5,8,7,1
527,4384,1.93,0,6,9,7,1
528,4408,4.76,0,13,16,24,1
529,4414,0.34,0,3,6,6,1
530,4417,-0.03,0,2,5,3,1
531,4420,-0.03,0,2,5,3,1
532,4437,4.63,0,12,15,17,1
533,4444,1.93,0,6,9,7,1
534,4461,5.18,0,13,16,17,1
