episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,12,3.28,0,9,12,12,1
2,15,-0.03,0,2,5,3,1
3,17,-0.52,0,1,4,2,1
4,18,-1.01,0,0,3,1,1
5,25,1.93,0,6,9,7,1
6,36,2.24,0,7,10,11,1
7,50,4.81,0,12,15,14,1
8,56,0.89,0,4,7,6,1
9,60,0.46,0,3,6,4,1
10,62,-0.52,0,1,4,2,1
11,76,3.16,0,9,12,14,1
12,79,-0.03,0,2,5,3,1
13,89,2.85,0,8,11,10,1
14,107,5.12,0,13,16,18,1
15,110,-0.03,0,2,5,3,1
16,117,1.93,0,6,9,7,1
17,129,2.18,0,7,10,12,1
18,164,5.2,0,15,18,35,1
19,166,-0.52,0,1,4,2,1
20,175,2.91,0,8,11,9,1
21,184,1.81,0,6,9,9,1
22,193,1.26,0,5,8,9,1
23,200,1.93,0,6,9,7,1
24,217,4.63,0,12,15,17,1
25,220,-0.03,0,2,5,3,1
26,221,-1.01,0,0,3,1,1
27,230,1.81,0,6,9,9,1
28,238,1.87,0,6,9,8,1
29,240,-0.52,0,1,4,2,1
30,257,4.08,0,11,14,17,1
31,288,7.64,0,19,22,31,1
32,302,4.81,0,12,15,14,1
33,312,2.85,0,8,11,10,1
34,315,-0.03,0,2,5,3,1
35,319,0.46,0,3,6,4,1
36,330,2.79,0,8,11,11,1
37,333,-0.03,0,2,5,3,1
38,335,-0.52,0,1,4,2,1
39,349,3.71,0,10,13,14,1
40,351,-0.52,0,1,4,2,1
41,356,0.95,0,4,7,5,1
42,362,0.89,0,4,7,6,1
43,390,5.07,0,14,17,28,1
44,397,1.38,0,5,8,7,1
45,404,1.93,0,6,9,7,1
46,407,-0.03,0,2,5,3,1
47,408,-1.01,0,0,3,1,1
48,414,1.44,0,5,8,6,1
49,427,3.22,0,9,12,13,1
50,450,4.82,0,13,16,23,1
51,463,3.22,0,9,12,13,1
52,471,1.87,0,6,9,8,1
53,479,2.42,0,7,10,8,1
54,484,0.4,0,3,6,5,1
55,492,1.87,0,6,9,8,1
56,503,3.89,0,10,13,11,1
57,508,0.95,0,4,7,5,1
58,512,-0.09,0,2,5,4,1
59,515,-0.03,0,2,5,3,1
60,526,2.79,0,8,11,11,1
61,528,-0.52,0,1,4,2,1
62,531,-0.03,0,2,5,3,1
63,537,1.44,0,5,8,6,1
64,539,-0.52,0,1,4,2,1
65,569,6.05,0,16,19,30,1
66,573,-0.09,0,2,5,4,1
67,579,1.44,0,5,8,6,1
68,582,-0.03,0,2,5,3,1
69,590,1.87,0,6,9,8,1
70,599,1.81,0,6,9,9,1
71,608,1.81,0,6,9,9,1
72,610,-0.52,0,1,4,2,1
73,615,0.95,0,4,7,5,1
74,621,0.89,0,4,7,6,1
75,622,-1.01,0,0,3,1,1
76,646,4.21,0,12,15,24,1
77,657,3.89,0,10,13,11,1
78,676,4.51,0,12,15,19,1
79,679,-0.03,0,2,5,3,1
80,685,0.34,0,3,6,6,1
81,695,1.2,0,5,8,10,1
82,701,0.34,0,3,6,6,1
83,704,-0.03,0,2,5,3,1
84,724,4.45,0,12,15,20,1
85,729,0.95,0,4,7,5,1
86,738,1.81,0,6,9,9,1
87,751,3.77,0,10,13,13,1
88,754,-0.03,0,2,5,3,1
89,769,4.75,0,12,15,15,1
90,773,0.46,0,3,6,4,1
91,774,-1.01,0,0,3,1,1
92,775,-1.01,0,0,3,1,1
93,792,5.18,0,13,16,17,1
94,801,2.36,0,7,10,9,1
