episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,15,3.65,1,10,13,15,1
2,20,0.95,1,4,7,5,1
3,22,-0.52,0,1,4,2,1
4,31,2.36,1,7,10,9,1
5,81,5.95,1,18,21,50,1
6,86,0.95,1,4,7,5,1
7,92,1.44,1,5,8,6,1
8,98,0.89,1,4,7,6,1
9,103,0.95,1,4,7,5,1
10,110,1.38,1,5,8,7,1
11,127,4.63,1,12,15,17,1
12,137,2.85,1,8,11,10,1
13,142,0.4,1,3,6,5,1
14,145,-0.03,0,2,5,3,1
15,147,-0.52,0,1,4,2,1
16,168,2.74,1,9,12,21,1
17,179,2.24,1,7,10,11,1
18,180,-1.01,0,0,3,1,1
19,181,-1.01,0,0,3,1,1
20,189,1.32,1,5,8,8,1
21,196,1.38,1,5,8,7,1
22,203,1.93,1,6,9,7,1
23,211,2.42,1,7,10,8,1
24,213,-0.52,0,1,4,2,1
25,214,-1.01,0,0,3,1,1
26,218,0.46,1,3,6,4,1
27,224,1.44,1,5,8,6,1
28,225,-1.01,0,0,3,1,1
29,238,4.32,1,11,14,13,1
30,240,-0.52,0,1,4,2,1
31,241,-1.01,0,0,3,1,1
32,249,1.32,1,5,8,8,1
33,252,-0.03,0,2,5,3,1
34,259,1.93,1,6,9,7,1
35,284,5.8,1,15,18,25,1
36,287,-0.03,0,2,5,3,1
37,297,2.3,1,7,10,10,1
38,301,0.46,1,3,6,4,1
39,302,-1.01,0,0,3,1,1
40,312,1.75,1,6,9,10,1
41,313,-1.01,0,0,3,1,1
42,314,-1.01,0,0,3,1,1
43,332,4.57,1,12,15,18,1
44,340,1.87,1,6,9,8,1
45,359,5.61,1,14,17,19,1
46,389,6.05,1,16,19,30,1
47,392,-0.03,0,2,5,3,1
48,395,-0.03,0,2,5,3,1
49,406,3.34,1,9,12,11,1
50,414,2.42,1,7,10,8,1
51,419,0.95,1,4,7,5,1
52,424,0.4,1,3,6,5,1
53,428,0.46,1,3,6,4,1
54,436,2.42,1,7,10,8,1
55,439,-0.03,0,2,5,3,1
56,442,-0.03,0,2,5,3,1
57,447,0.95,1,4,7,5,1
58,450,-0.03,0,2,5,3,1
59,453,-0.03,0,2,5,3,1
60,457,0.46,1,3,6,4,1
61,458,-1.01,0,0,3,1,1
62,460,-0.52,0,1,4,2,1
63,473,2.12,1,7,10,13,1
64,493,3.9,1,11,14,20,1
65,504,3.34,1,9,12,11,1
66,531,5.13,1,14,17,27,1
67,544,4.87,1,12,15,13,1
68,560,4.14,1,11,14,16,1
69,565,0.4,1,3,6,5,1
70,568,-0.03,0,2,5,3,1
71,570,-0.52,0,1,4,2,1
72,573,-0.03,0,2,5,3,1
73,584,3.34,1,9,12,11,1
74,596,3.28,1,9,12,12,1
75,611,3.1,1,9,12,15,1
76,617,1.44,1,5,8,6,1
77,622,0.95,1,4,7,5,1
78,628,1.44,1,5,8,6,1
79,633,0.95,1,4,7,5,1
80,634,-1.01,0,0,3,1,1
81,644,1.75,1,6,9,10,1
82,655,2.24,1,7,10,11,1
83,684,6.66,1,17,20,29,1
84,691,1.93,1,6,9,7,1
85,700,2.91,1,8,11,9,1
86,714,1.51,1,6,9,14,1
87,717,-0.58,0,1,4,3,1
88,719,-0.52,0,1,4,2,1
89,722,-0.03,0,2,5,3,1
90,732,3.4,1,9,12,10,1
91,737,0.95,1,4,7,5,1
92,739,-0.52,0,1,4,2,1
93,763,5.31,1,14,17,24,1
94,766,-0.03,0,2,5,3,1
95,767,-1.01,0,0,3,1,1
96,768,-1.01,0,0,3,1,1
97,783,4.2,1,11,14,15,1
98,794,1.69,1,6,9,11,1
99,821,6.78,1,17,20,27,1
100,840,4.51,1,12,15,19,1
101,859,4.51,1,12,15,19,1
102,866,1.93,1,6,9,7,1
103,872,0.89,1,4,7,6,1
104,878,1.44,1,5,8,6,1
105,893,3.65,1,10,13,15,1
106,920,5.68,1,15,18,27,1
107,922,-0.52,0,1,4,2,1
108,948,4.09,1,12,15,26,1
109,958,2.3,1,7,10,10,1
110,964,0.89,1,4,7,6,1
111,974,2.3,1,7,10,10,1
112,980,0.89,1,4,7,6,1
113,993,4.32,1,11,14,13,1
114,997,-0.09,0,2,5,4,1
115,1004,0.83,1,4,7,7,1
116,1009,0.4,1,3,6,5,1
117,1016,1.93,1,6,9,7,1
118,1041,5.25,1,14,17,25,1
119,1060,5.06,1,13,16,19,1
120,1068,2.42,1,7,10,8,1
121,1073,0.95,1,4,7,5,1
122,1084,2.79,1,8,11,11,1
123,1085,-1.01,0,0,3,1,1
124,1086,-1.01,0,0,3,1,1
125,1092,1.44,1,5,8,6,1
126,1097,0.95,1,4,7,5,1
127,1102,0.95,1,4,7,5,1
128,1106,0.46,1,3,6,4,1
129,1118,3.83,1,10,13,12,1
130,1126,1.87,1,6,9,8,1
131,1129,-0.58,0,1,4,3,1
132,1131,-0.52,0,1,4,2,1
133,1133,-0.52,0,1,4,2,1
134,1137,0.46,1,3,6,4,1
135,1140,-0.03,0,2,5,3,1
136,1142,-0.52,0,1,4,2,1
137,1144,-0.52,0,1,4,2,1
138,1162,5.67,1,14,17,18,1
139,1169,1.93,1,6,9,7,1
140,1172,-0.03,0,2,5,3,1
141,1174,-0.52,0,1,4,2,1
142,1191,4.63,1,12,15,17,1
143,1198,1.38,1,5,8,7,1
144,1205,1.93,1,6,9,7,1
145,1225,4.45,1,12,15,20,1
146,1231,0.89,1,4,7,6,1
147,1236,0.4,1,3,6,5,1
148,1237,-1.01,0,0,3,1,1
149,1243,1.44,1,5,8,6,1
150,1245,-0.52,0,1,4,2,1
151,1249,0.46,1,3,6,4,1
152,1258,1.26,1,5,8,9,1
153,1266,2.42,1,7,10,8,1
154,1303,6.18,1,17,20,37,1
155,1304,-1.01,0,0,3,1,1
156,1326,4.33,1,12,15,22,1
157,1329,-0.03,0,2,5,3,1
158,1330,-1.01,0,0,3,1,1
159,1342,3.83,1,10,13,12,1
160,1355,3.77,1,10,13,13,1
161,1363,1.87,1,6,9,8,1
162,1366,-0.03,0,2,5,3,1
163,1367,-1.01,0,0,3,1,1
164,1370,-0.03,0,2,5,3,1
165,1377,1.38,1,5,8,7,1
166,1397,3.9,1,11,14,20,1
167,1405,1.87,1,6,9,8,1
168,1418,3.22,1,9,12,13,1
169,1445,6.78,1,17,20,27,1
170,1447,-0.52,0,1,4,2,1
171,1448,-1.01,0,0,3,1,1
172,1451,-0.03,0,2,5,3,1
173,1469,4.02,1,11,14,18,1
174,1473,0.46,1,3,6,4,1
175,1477,0.46,1,3,6,4,1
176,1480,-0.03,0,2,5,3,1
177,1490,3.4,1,9,12,10,1
178,1494,0.46,1,3,6,4,1
179,1503,2.36,1,7,10,9,1
180,1522,5.06,1,13,16,19,1
181,1534,4.38,1,11,14,12,1
182,1537,-0.03,0,2,5,3,1
183,1548,2.79,1,8,11,11,1
184,1552,0.46,1,3,6,4,1
185,1560,1.87,1,6,9,8,1
186,1563,-0.03,0,2,5,3,1
187,1581,4.57,1,12,15,18,1
188,1585,0.46,1,3,6,4,1
189,1600,2.55,1,8,11,15,1
190,1607,1.38,1,5,8,7,1
191,1611,0.46,1,3,6,4,1
192,1631,5.55,1,14,17,20,1
193,1638,1.93,1,6,9,7,1
194,1661,4.27,1,12,15,23,1
195,1678,4.63,1,12,15,17,1
196,1696,4.02,1,11,14,18,1
197,1697,-1.01,0,0,3,1,1
198,1698,-1.01,0,0,3,1,1
199,1703,0.95,1,4,7,5,1
200,1711,2.42,1,7,10,8,1
201,1740,6.11,1,16,19,29,1
202,1750,2.3,1,7,10,10,1
203,1751,-1.01,0,0,3,1,1
204,1754,-0.03,0,2,5,3,1
205,1758,0.46,1,3,6,4,1
206,1766,1.87,1,6,9,8,1
207,1806,6.0,1,17,20,40,1
208,1809,-0.03,0,2,5,3,1
209,1815,1.44,1,5,8,6,1
210,1818,-0.03,0,2,5,3,1
211,1847,6.66,1,17,20,29,1
212,1859,3.28,1,9,12,12,1
213,1866,1.38,1,5,8,7,1
214,1878,3.83,1,10,13,12,1
215,1880,-0.52,0,1,4,2,1
216,1882,-0.52,0,1,4,2,1
217,1884,-0.52,0,1,4,2,1
218,1890,1.44,1,5,8,6,1
219,1897,1.93,1,6,9,7,1
220,1898,-1.01,0,0,3,1,1
221,1900,-0.52,0,1,4,2,1
222,1902,-0.52,0,1,4,2,1
223,1907,0.95,1,4,7,5,1
224,1912,0.4,1,3,6,5,1
225,1913,-1.01,0,0,3,1,1
226,1917,0.46,1,3,6,4,1
227,1922,0.95,1,4,7,5,1
228,1925,-0.03,0,2,5,3,1
229,1932,1.38,1,5,8,7,1
230,1934,-0.52,0,1,4,2,1
231,1938,0.46,1,3,6,4,1
232,1945,1.93,1,6,9,7,1
233,1946,-1.01,0,0,3,1,1
234,1952,1.44,1,5,8,6,1
235,1953,-1.01,0,0,3,1,1
236,1954,-1.01,0,0,3,1,1
237,1959,0.95,1,4,7,5,1
238,1972,3.77,1,10,13,13,1
239,1974,-0.52,0,1,4,2,1
240,1999,5.8,1,15,18,25,1
241,2000,-1.01,0,0,3,1,1
242,2027,5.13,1,14,17,27,1
243,2030,-0.03,0,2,5,3,1
244,2031,-1.01,0,0,3,1,1
245,2032,-1.01,0,0,3,1,1
246,2039,1.38,1,5,8,7,1
247,2043,0.46,1,3,6,4,1
248,2078,7.4,1,19,22,35,1
249,2090,2.73,1,8,11,12,1
250,2094,-0.09,0,2,5,4,1
251,2096,-0.52,0,1,4,2,1
252,2121,5.8,1,15,18,25,1
253,2132,2.24,1,7,10,11,1
254,2139,1.38,1,5,8,7,1
255,2146,1.38,1,5,8,7,1
256,2167,4.94,1,13,16,21,1
257,2177,3.4,1,9,12,10,1
258,2186,1.26,1,5,8,9,1
