episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,5,3.45,0,9,12,5,1
2,6,-1.01,0,0,3,1,1
3,11,8.95,0,20,23,5,1
4,13,8.98,0,20,23,2,1
5,16,7.47,0,17,20,3,1
6,20,7.46,0,17,20,4,1
7,22,6.48,0,15,18,2,1
8,31,7.41,0,17,20,9,1
9,37,12.94,1,22,25,6,0
10,43,6.44,0,15,18,6,1
11,55,7.88,0,18,21,12,1
12,58,6.97,0,16,19,3,1
13,59,-1.01,0,0,3,1,1
14,60,-1.01,0,0,3,1,1
15,63,12.97,1,22,25,3,0
16,65,8.48,0,19,22,2,1
17,69,6.46,0,15,18,4,1
18,74,9.45,0,21,24,5,1
19,77,5.47,0,13,16,3,1
20,81,0.46,0,3,6,4,1
21,83,8.98,0,20,23,2,1
22,92,7.91,0,18,21,9,1
23,93,-1.01,0,0,3,1,1
24,98,8.95,0,20,23,5,1
25,106,7.92,0,18,21,8,1
26,114,6.42,0,15,18,8,1
27,115,-1.01,0,0,3,1,1
28,120,7.95,0,18,21,5,1
29,125,0.95,0,4,7,5,1
30,128,5.97,0,14,17,3,1
31,134,8.44,0,19,22,6,1
32,139,6.45,0,15,18,5,1
33,141,8.48,0,19,22,2,1
34,144,8.97,0,20,23,3,1
35,154,9.4,0,21,24,10,1
36,160,4.94,0,12,15,6,1
37,163,7.97,0,18,21,3,1
38,166,5.97,0,14,17,3,1
39,172,6.94,0,16,19,6,1
40,175,8.47,0,19,22,3,1
41,185,9.4,0,21,24,10,1
42,192,6.93,0,16,19,7,1
43,193,-1.01,0,0,3,1,1
44,206,8.87,0,20,23,13,1
45,216,8.9,0,20,23,10,1
46,222,8.94,0,20,23,6,1
47,225,-0.03,0,2,5,3,1
48,227,-0.52,0,1,4,2,1
49,228,-1.01,0,0,3,1,1
50,229,-1.01,0,0,3,1,1
51,233,9.46,0,21,24,4,1
52,235,-0.52,0,1,4,2,1
53,237,12.98,1,22,25,2,0
54,238,-1.01,0,0,3,1,1
55,243,8.95,0,20,23,5,1
56,246,7.97,0,18,21,3,1
57,247,-1.01,0,0,3,1,1
58,251,7.46,0,17,20,4,1
59,252,-1.01,0,0,3,1,1
60,257,8.95,0,20,23,5,1
61,259,7.98,0,18,21,2,1
62,265,6.94,0,16,19,6,1
63,266,-1.01,0,0,3,1,1
64,268,6.98,0,16,19,2,1
65,275,9.43,0,21,24,7,1
66,276,-1.01,0,0,3,1,1
67,279,-0.03,0,2,5,3,1
68,283,0.46,0,3,6,4,1
69,291,9.42,0,21,24,8,1
70,294,8.97,0,20,23,3,1
71,296,-0.52,0,1,4,2,1
72,297,-1.01,0,0,3,1,1
73,299,12.98,1,22,25,2,0
74,303,7.96,0,18,21,4,1
75,305,6.98,0,16,19,2,1
76,307,6.48,0,15,18,2,1
77,311,7.96,0,18,21,4,1
78,314,-0.03,0,2,5,3,1
79,318,0.46,0,3,6,4,1
80,321,8.97,0,20,23,3,1
81,323,7.98,0,18,21,2,1
82,325,5.48,0,13,16,2,1
83,331,1.44,0,5,8,6,1
84,336,8.95,0,20,23,5,1
85,341,7.45,0,17,20,5,1
86,342,-1.01,0,0,3,1,1
