episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,7,1.93,0,6,7,7,1
2,19,3.28,0,9,10,12,1
3,36,4.63,0,12,13,17,1
4,51,5.3,0,13,14,15,1
5,87,6.24,0,17,18,36,1
6,116,6.11,0,16,17,29,1
7,119,-0.03,0,2,3,3,1
8,139,5.0,0,13,14,20,1
9,143,-0.09,0,2,3,4,1
10,159,4.14,0,11,12,16,1
11,213,7.36,0,21,22,54,1
12,263,7.6,0,21,22,50,1
13,284,4.94,0,13,14,21,1
14,310,6.29,0,16,17,26,1
15,325,3.65,0,10,11,15,1
16,327,-0.52,0,1,2,2,1
17,382,11.9,1,24,25,55,0
18,417,6.85,0,18,19,35,1
19,455,7.77,0,20,21,38,1
20,514,7.61,0,22,23,59,1
21,531,3.53,0,10,11,17,1
22,555,5.86,0,15,16,24,1
23,572,4.08,0,11,12,17,1
24,601,6.66,0,17,18,29,1
25,664,11.42,1,24,25,63,0
26,705,8.69,0,22,23,41,1
27,714,2.36,0,7,8,9,1
28,728,3.71,0,10,11,14,1
29,733,0.4,0,3,4,5,1
30,736,-0.03,0,2,3,3,1
31,756,5.0,0,13,14,20,1
32,762,0.89,0,4,5,6,1
33,779,5.18,0,13,14,17,1
34,792,3.22,0,9,10,13,1
35,824,7.03,0,18,19,32,1
36,828,0.46,0,3,4,4,1
37,839,3.34,0,9,10,11,1
38,876,6.73,0,18,19,37,1
39,897,6.04,0,15,16,21,1
40,927,9.35,0,22,23,30,1
41,930,-0.03,0,2,3,3,1
42,952,5.43,0,14,15,22,1
43,954,-0.52,0,1,2,2,1
44,965,2.24,0,7,8,11,1
45,967,-0.52,0,1,2,2,1
46,1008,8.14,0,21,22,41,1
47,1019,2.24,0,7,8,11,1
48,1021,-0.52,0,1,2,2,1
49,1032,3.34,0,9,10,11,1
50,1041,1.81,0,6,7,9,1
51,1074,6.42,0,17,18,33,1
52,1090,4.69,0,12,13,16,1
53,1117,6.23,0,16,17,27,1
54,1138,6.04,0,15,16,21,1
55,1149,3.34,0,9,10,11,1
56,1160,2.79,0,8,9,11,1
57,1228,11.12,1,24,25,68,0
58,1268,7.1,0,19,20,40,1
59,1274,1.44,0,5,6,6,1
60,1302,6.17,0,16,17,28,1
61,1304,-0.52,0,1,2,2,1
62,1315,2.79,0,8,9,11,1
63,1317,-0.52,0,1,2,2,1
64,1396,6.96,0,23,24,79,1
65,1438,6.43,0,18,19,42,1
66,1455,5.18,0,13,14,17,1
67,1469,3.71,0,10,11,14,1
68,1512,12.62,1,24,25,43,0
69,1568,6.69,0,20,21,56,1
70,1570,-0.52,0,1,2,2,1
71,1601,5.44,0,15,16,31,1
72,1659,7.12,0,21,22,58,1
73,1664,0.95,0,4,5,5,1
74,1682,4.02,0,11,12,18,1
75,1684,-0.52,0,1,2,2,1
76,1726,7.53,0,20,21,42,1
77,1727,-1.01,0,0,1,1,1
78,1749,7.08,0,17,18,22,1
79,1759,2.85,0,8,9,10,1
80,1764,0.95,0,4,5,5,1
81,1829,7.8,0,23,24,65,1
82,1893,7.31,0,22,23,64,1
83,1967,7.26,0,23,24,74,1
84,2010,6.37,0,18,19,43,1
85,2041,5.44,0,15,16,31,1
86,2066,6.9,0,17,18,25,1
87,2101,5.75,0,16,17,35,1
88,2103,-0.52,0,1,2,2,1
89,2107,0.46,0,3,4,4,1
90,2108,-1.01,0,0,1,1,1
91,2114,1.44,0,5,6,6,1
92,2168,7.91,0,22,23,54,1
93,2171,-0.03,0,2,3,3,1
94,2199,6.17,0,16,17,28,1
95,2235,6.79,0,18,19,36,1
96,2311,10.64,1,24,25,76,0
97,2325,3.71,0,10,11,14,1
98,2365,7.1,0,19,20,40,1
99,2371,1.44,0,5,6,6,1
100,2440,7.56,0,23,24,69,1
101,2446,1.44,0,5,6,6,1
102,2460,3.16,0,9,10,14,1
103,2471,2.79,0,8,9,11,1
104,2473,-0.52,0,1,2,2,1
105,2538,6.7,0,21,22,65,1
106,2566,6.17,0,16,17,28,1
107,2574,1.87,0,6,7,8,1
108,2585,2.79,0,8,9,11,1
109,2589,-0.09,0,2,3,4,1
110,2599,2.3,0,7,8,10,1
111,2627,6.72,0,17,18,28,1
112,2693,7.74,0,23,24,66,1
113,2696,-0.03,0,2,3,3,1
114,2702,1.44,0,5,6,6,1
115,2724,5.43,0,14,15,22,1
116,2777,6.87,0,20,21,53,1
117,2806,6.11,0,16,17,29,1
118,2831,6.9,0,17,18,25,1
119,2866,5.2,0,15,16,35,1
120,2875,1.81,0,6,7,9,1
121,2910,5.75,0,16,17,35,1
122,2942,6.48,0,17,18,32,1
123,2951,2.36,0,7,8,9,1
124,2984,6.42,0,17,18,33,1
125,2995,2.24,0,7,8,11,1
126,3012,4.63,0,12,13,17,1
127,3084,10.88,1,24,25,72,0
128,3120,6.79,0,18,19,36,1
129,3130,3.4,0,9,10,10,1
130,3139,2.91,0,8,9,9,1
131,3146,1.93,0,6,7,7,1
132,3152,1.44,0,5,6,6,1
133,3199,7.23,0,20,21,47,1
134,3229,7.15,0,18,19,30,1
135,3233,0.46,0,3,4,4,1
136,3244,2.24,0,7,8,11,1
137,3246,-0.52,0,1,2,2,1
138,3288,6.98,0,19,20,42,1
139,3361,7.32,0,23,24,73,1
140,3365,0.46,0,3,4,4,1
141,3422,7.73,0,22,23,57,1
142,3486,11.36,1,24,25,64,0
143,3514,7.27,0,18,19,28,1
144,3533,4.51,0,12,13,19,1
145,3566,6.42,0,17,18,33,1
146,3573,1.93,0,6,7,7,1
147,3667,6.06,0,23,24,94,1
148,3675,2.42,0,7,8,8,1
149,3688,3.77,0,10,11,13,1
150,3719,7.09,0,18,19,31,1
151,3764,6.8,0,19,20,45,1
152,3778,4.26,0,11,12,14,1
153,3799,3.84,0,11,12,21,1
154,3809,3.4,0,9,10,10,1
155,3827,4.57,0,12,13,18,1
156,3879,8.58,0,23,24,52,1
157,3942,7.92,0,23,24,63,1
158,3956,3.71,0,10,11,14,1
159,3970,4.81,0,12,13,14,1
160,3974,0.46,0,3,4,4,1
161,4018,6.31,0,18,19,44,1
162,4033,3.1,0,9,10,15,1
163,4041,1.32,0,5,6,8,1
164,4077,7.34,0,19,20,36,1
165,4115,7.77,0,20,21,38,1
166,4145,4.95,0,14,15,30,1
167,4175,6.6,0,17,18,30,1
168,4192,2.98,0,9,10,17,1
169,4257,7.8,0,23,24,65,1
170,4258,-1.01,0,0,1,1,1
171,4332,10.76,1,24,25,74,0
172,4364,6.48,0,17,18,32,1
173,4365,-1.01,0,0,1,1,1
174,4378,4.32,0,11,12,13,1
175,4383,0.95,0,4,5,5,1
176,4386,-0.03,0,2,3,3,1
177,4388,-0.52,0,1,2,2,1
178,4437,6.56,0,19,20,49,1
179,4488,8.09,0,22,23,51,1
180,4504,3.59,0,10,11,16,1
181,4511,1.93,0,6,7,7,1
182,4512,-1.01,0,0,1,1,1
183,4513,-1.01,0,0,1,1,1
184,4565,6.93,0,20,21,52,1
185,4586,6.04,0,15,16,21,1
186,4592,0.89,0,4,5,6,1
187,4609,4.08,0,11,12,17,1
188,4647,5.57,0,16,17,38,1
189,4668,3.29,0,10,11,21,1
190,4697,7.21,0,18,19,29,1
191,4721,6.96,0,17,18,24,1
192,4729,0.77,0,4,5,8,1
193,4730,-1.01,0,0,1,1,1
194,4784,6.26,0,19,20,54,1
195,4812,6.72,0,17,18,28,1
196,4814,-0.52,0,1,2,2,1
197,4840,6.84,0,17,18,26,1
198,4846,0.89,0,4,5,6,1
199,4886,4.9,0,15,16,40,1
200,4901,3.65,0,10,11,15,1
201,4903,-0.52,0,1,2,2,1
202,4913,2.85,0,8,9,10,1
203,4922,1.26,0,5,6,9,1
204,4957,5.2,0,15,16,35,1
205,4986,5.01,0,14,15,29,1
206,4989,-0.03,0,2,3,3,1
207,5016,6.23,0,16,17,27,1
208,5019,-0.03,0,2,3,3,1
209,5063,6.86,0,19,20,44,1
210,5114,6.44,0,19,20,51,1
211,5122,2.42,0,7,8,8,1
212,5158,6.79,0,18,19,36,1
213,5194,6.79,0,18,19,36,1
214,5220,3.54,0,11,12,26,1
215,5265,6.25,0,18,19,45,1
216,5284,3.96,0,11,12,19,1
217,5287,-0.03,0,2,3,3,1
218,5336,7.66,0,21,22,49,1
219,5342,1.44,0,5,6,6,1
220,5343,-1.01,0,0,1,1,1
221,5440,9.38,1,24,25,97,0
222,5456,3.59,0,10,11,16,1
223,5494,6.67,0,18,19,38,1
224,5511,3.53,0,10,11,17,1
225,5531,4.45,0,12,13,20,1
226,5556,5.25,0,14,15,25,1
227,5565,1.81,0,6,7,9,1
228,5613,6.07,0,18,19,48,1
229,5646,6.97,0,18,19,33,1
230,5675,4.46,0,13,14,29,1
231,5685,2.85,0,8,9,10,1
232,5687,-0.52,0,1,2,2,1
