episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,14,5.36,0,13,14,14,1
2,33,7.81,0,18,19,19,1
3,44,3.89,0,10,11,11,1
4,53,2.91,0,8,9,9,1
5,76,9.77,0,22,23,23,1
6,86,3.4,0,9,10,10,1
7,103,6.83,0,16,17,17,1
8,125,9.28,0,21,22,22,1
9,141,6.34,0,15,16,16,1
10,158,6.83,0,16,17,17,1
11,159,-1.01,0,0,1,1,1
12,163,0.46,0,3,4,4,1
13,164,-1.01,0,0,1,1,1
14,170,1.44,0,5,6,6,1
15,180,3.4,0,9,10,10,1
16,195,5.85,0,14,15,15,1
17,214,7.81,0,18,19,19,1
18,227,4.87,0,12,13,13,1
19,232,0.95,0,4,5,5,1
20,242,3.4,0,9,10,10,1
21,266,10.26,0,23,24,24,1
22,268,-0.52,0,1,2,2,1
23,273,0.95,0,4,5,5,1
24,275,-0.52,0,1,2,2,1
25,297,9.28,0,21,22,22,1
26,300,-0.03,0,2,3,3,1
27,324,10.26,0,23,24,24,1
28,343,7.81,0,18,19,19,1
29,349,1.44,0,5,6,6,1
30,373,10.26,0,23,24,24,1
31,375,-0.52,0,1,2,2,1
32,392,6.83,0,16,17,17,1
33,411,7.81,0,18,19,19,1
34,412,-1.01,0,0,1,1,1
35,430,7.32,0,17,18,18,1
36,449,7.81,0,18,19,19,1
37,456,1.93,0,6,7,7,1
38,466,3.4,0,9,10,10,1
39,472,1.44,0,5,6,6,1
40,495,9.77,0,22,23,23,1
41,508,4.87,0,12,13,13,1
42,520,4.38,0,11,12,12,1
43,536,6.34,0,15,16,16,1
44,560,10.26,0,23,24,24,1
45,579,7.81,0,18,19,19,1
46,603,13.76,1,24,25,24,0
47,605,-0.52,0,1,2,2,1
48,623,7.32,0,17,18,18,1
49,643,8.3,0,19,20,20,1
50,665,9.28,0,21,22,22,1
51,670,0.95,0,4,5,5,1
52,690,8.3,0,19,20,20,1
53,696,1.44,0,5,6,6,1
54,714,7.32,0,17,18,18,1
55,727,4.87,0,12,13,13,1
56,747,8.3,0,19,20,20,1
57,764,6.83,0,16,17,17,1
58,781,6.83,0,16,17,17,1
59,802,8.79,0,20,21,21,1
60,805,-0.03,0,2,3,3,1
61,828,9.77,0,22,23,23,1
62,838,3.4,0,9,10,10,1
63,848,3.4,0,9,10,10,1
64,872,13.76,1,24,25,24,0
65,884,4.38,0,11,12,12,1
66,903,7.81,0,18,19,19,1
67,914,3.89,0,10,11,11,1
68,920,1.44,0,5,6,6,1
69,932,4.38,0,11,12,12,1
70,956,10.26,0,23,24,24,1
71,977,8.79,0,20,21,21,1
72,985,2.42,0,7,8,8,1
73,1004,7.81,0,18,19,19,1
74,1028,13.76,1,24,25,24,0
75,1052,10.26,0,23,24,24,1
76,1059,1.93,0,6,7,7,1
77,1062,-0.03,0,2,3,3,1
78,1082,8.3,0,19,20,20,1
79,1095,4.87,0,12,13,13,1
80,1109,5.36,0,13,14,14,1
81,1126,6.83,0,16,17,17,1
82,1137,3.89,0,10,11,11,1
83,1150,4.87,0,12,13,13,1
84,1154,0.46,0,3,4,4,1
85,1162,2.42,0,7,8,8,1
86,1164,-0.52,0,1,2,2,1
87,1168,0.46,0,3,4,4,1
88,1178,3.4,0,9,10,10,1
89,1183,0.95,0,4,5,5,1
90,1202,7.81,0,18,19,19,1
91,1208,1.44,0,5,6,6,1
92,1221,4.87,0,12,13,13,1
93,1229,2.42,0,7,8,8,1
94,1237,2.42,0,7,8,8,1
95,1260,9.77,0,22,23,23,1
96,1268,2.42,0,7,8,8,1
97,1291,9.77,0,22,23,23,1
98,1302,3.89,0,10,11,11,1
99,1306,0.46,0,3,4,4,1
100,1329,9.77,0,22,23,23,1
101,1353,13.76,1,24,25,24,0
102,1376,9.77,0,22,23,23,1
103,1399,9.77,0,22,23,23,1
104,1404,0.95,0,4,5,5,1
105,1419,5.85,0,14,15,15,1
106,1427,2.42,0,7,8,8,1
107,1434,1.93,0,6,7,7,1
108,1443,2.91,0,8,9,9,1
109,1446,-0.03,0,2,3,3,1
110,1470,13.76,1,24,25,24,0
111,1477,1.93,0,6,7,7,1
112,1486,2.91,0,8,9,9,1
113,1508,9.28,0,21,22,22,1
114,1512,0.46,0,3,4,4,1
115,1533,8.79,0,20,21,21,1
116,1550,6.83,0,16,17,17,1
117,1574,10.26,0,23,24,24,1
118,1577,-0.03,0,2,3,3,1
119,1596,7.81,0,18,19,19,1
120,1605,2.91,0,8,9,9,1
121,1610,0.95,0,4,5,5,1
122,1632,9.28,0,21,22,22,1
123,1639,1.93,0,6,7,7,1
124,1641,-0.52,0,1,2,2,1
125,1642,-1.01,0,0,1,1,1
126,1649,1.93,0,6,7,7,1
127,1650,-1.01,0,0,1,1,1
128,1660,3.4,0,9,10,10,1
129,1670,3.4,0,9,10,10,1
130,1693,9.77,0,22,23,23,1
131,1712,7.81,0,18,19,19,1
132,1736,10.26,0,23,24,24,1
133,1737,-1.01,0,0,1,1,1
134,1738,-1.01,0,0,1,1,1
135,1759,8.79,0,20,21,21,1
136,1760,-1.01,0,0,1,1,1
137,1761,-1.01,0,0,1,1,1
138,1764,-0.03,0,2,3,3,1
139,1781,6.83,0,16,17,17,1
140,1805,13.76,1,24,25,24,0
141,1815,3.4,0,9,10,10,1
